Theo M1_deg M1_min M2_deg M2_min M3_deg M3_min
6438.5 44 40 44 40 44 40
5155.1 41 57 41 57 41 58
5085.8 41 40 41 40 41 43
4799.9 40 40 40 40 40 40
4678.2 40 07 40 05 40 05
4413 38 40 38 45 38 40
