,delta,interpguio,interpminsq,lambda,n
0,$72.933 \pm 0.024$,$6424 \pm 26$,$6473 \pm 33$,6438.5,$1.83366 \pm 0.00016$
1,$75.644 \pm 0.025$,$5179 \pm 18$,$5170 \pm 10$,5155.1,$1.85203 \pm 0.00016$
2,$75.917 \pm 0.033$,$5095 \pm 20$,$5084 \pm 12$,5085.8,$1.85382 \pm 0.00022$
3,$76.933 \pm 0.024$,$4819 \pm 16$,$4808 \pm 8$,4799.9,$1.86041 \pm 0.00015$
4,$77.506 \pm 0.028$,$4686 \pm 16$,$4677 \pm 8$,4678.2,$1.86405 \pm 0.00018$
5,$78.91 \pm 0.05$,$4414 \pm 18$,$4411 \pm 8$,4413.0,$1.87277 \pm 0.00028$
